Place_Id,Rating,Price,vote_average,vote_count,htm_weekday,htm_weekend,popularity_score,category_id
198.0,0.5999999999999996,5000,0.0,0.0,0.0,0.0,0.0,4
199.0,0.5,5000,0.0,0.0,0.0,0.0,0.0,4
200.0,0.5999999999999996,5000,0.0,0.0,0.0,0.0,0.0,4
201.0,0.5999999999999996,5000,4.6,2296.0,5000.0,5000.0,10561.599999999999,4
202.0,0.5,10000,4.5,3151.0,10000.0,10000.0,14179.5,4
203.0,0.2999999999999998,40000,0.0,0.0,0.0,0.0,0.0,1
204.0,0.40000000000000036,0,4.4,2245.0,50000.0,50000.0,9878.0,1
205.0,0.5,50000,0.0,0.0,0.0,0.0,0.0,1
206.0,0.40000000000000036,8000,0.0,0.0,0.0,0.0,0.0,3
207.0,0.40000000000000036,15000,4.4,13048.0,10000.0,10000.0,57411.200000000004,1
208.0,0.5999999999999996,10000,4.6,5499.0,10000.0,10000.0,25295.399999999998,3
209.0,0.5,10000,0.0,0.0,0.0,0.0,0.0,4
210.0,0.2999999999999998,3000,0.0,0.0,0.0,0.0,0.0,4
